Account,Total Pdex rewards,Initial Claimable rewards,Factor,DOT Contributed
5DcSUkeY5QHQL6yCJRG5ZuVDEwZLCmmRgA7mFXVVLFrjZokG,20.54816,5.13704,0.000003185168,10
5HdegfQaBYHJvB9hxYE4dXtyJy6bJYbcAQPgftbGg8bPgEbY,237.331248,59.332812,0.000036788697,115.5
5GZasW3bmRDSqcbbgLy2cSp9SnsN5yCjjztfmchmpqdzbgvH,51.3704,12.8426,0.000007962921,25
5FqciNHV4Kww962j3MKWZ1TVPP3RiULFYMML4T3zefAVS8Jn,20.54816,5.13704,0.000003185168,10
5DqZUyLcdnTCSqUYhJuyeYJW33dj5qvZkZbP4qiGj6oaMvtL,164.38528,41.09632,0.000025481349,80
5GYnxKvRke3oCmvE1xhznkL3ZQeDFrrjBHoq7QbiRc88vF73,10.27408,2.56852,0.000001592584,5
5DkqoNJiY2gMZhYBgZ5bbAUiT21D3io9yH24bQ4JMjk8p9BY,123.3771116064,30.8442779016,0.000019124676,60.0429
5G3oQiE9qLEXCTvmYK3yTohmcHugXxiWxZ2rKLDLwuFoWSFD,205.4816,51.3704,0.000031851686,100
5Cd4SjZrNCJMfn5LTp7UUbkEarZXDQD2EeHHmxdwUkUXVbZ4,10.3739440576,2.5934860144,0.000001608064,5.0486
5EhJ1aXx4zVAKwT5znbSohfpFHXSyYjVU8Y1sRXmEqhJqX9R,36.986688,9.246672,0.000005733303,18
5G4Ldhrm9UzXvhmQhuDiVGYKCJ7dBEpBAL3WUyyZr4Uin7gX,33.6989824,8.4247456,0.000005223676,16.4
5FWhX3F9vPCkveZCHoEJG4J1vEjqgDrfHMc93zeDEuFtSExv,267.12608,66.78152,0.000041407192,130
5EByAJrg82QyWZpCTQ4ZdM43Gr7pKPNrW4jtRHXe9jqjLLme,45.4114336,11.3528584,0.000007039222,22.1
5HDry5k7Pjs9BYck6DvCGtuK15Ba9bT83cTRsdt5YJwGg9tT,20.54816,5.13704,0.000003185168,10
5GeJ1hqUn24mtrcvZdRLyRYpRyAWyMdhPGv3sMoPBiFpntUq,10.27408,2.56852,0.000001592584,5
5HZ68wv2gx5P9fAr8Q5yRqMEJCrxVZAN5y6FSttAgrJW3whF,82.19264,20.54816,0.000012740674,40
5CfWLfyCvfjoJ9yoUGEPSL7tRQd9qc8ThFLF8cWpuaefboMK,10.27408,2.56852,0.000001592584,5
5GrsLX5L36RSQqPtNUJsZJ516Lg9oPajVJuWycLtdaGAGdYZ,41.09632,10.27408,0.000006370337,20
5G473SLXEADNkx6t8T9hJk7qLG9ziVPAqAPSHingF5zy1fQX,10.27408,2.56852,0.000001592584,5
5EAdqGpwq6BLbjcVRYNf56MHSdowi8LwkC7fkcwqTZmr9fTF,41.09632,10.27408,0.000006370337,20
5HbYpm41F7Pyssz8vcJrLUiHTXTfdpTHaPBXSnvTqmcyeppy,20.54816,5.13704,0.000003185168,10
5Gww7gW9aS3N38cCx9WT4HAy4C7HgmSUyH81GGHMQHS6AjTA,49.5210656,12.3802664,0.000007676256,24.1
5DX1No5tDMqV1hw9NuqxPJCrX379dFoiLnrwYZgQqjjX1Sqs,82.19264,20.54816,0.000012740674,40
5GeFaRZn7m4M6ecmZZ7YPijwABnUxC1QsVKgYvfgCrxP2hRb,10.27408,2.56852,0.000001592584,5
5D4rKYteiRrsFhcLqcvrjJREKJLKt7Y2pnJxbuP8AbcRVGh1,51.3704,12.8426,0.000007962921,25
5GWSRjeMxjht1NPm4LJMbyUXRdKNDX82tQG1eTtDA74ai5Zz,10.27408,2.56852,0.000001592584,5
5H8R9pj6fS3vk8uq6xx9GrZbK2pW5Kp2uWvK2R2XcmvHtxv5,376.031328,94.007832,0.000058288586,183
5Fo2Wwa1vwgwwWnXzGVAJezA3NVroisZvb9kMPREgKWeWEBf,10.27408,2.56852,0.000001592584,5
5CJsVZwLZ6P4HnTf9N33wqAvBGtxnUw9sx85tBr4xMdq5bqH,20.54816,5.13704,0.000003185168,10
5ECcovYsEUvqFNuLhfJC8ji9HASHzXtXNcrUjCp1FuGY6cQy,639.047776,159.761944,0.000099058745,311
5CSoDbcsXTBddBkGVJyDK7wTdoD1BWeWshmHNA2yRNxkEdjo,20.54816,5.13704,0.000003185168,10
5GVvMc2qMqmxqrEWgjxXjZSMBfmxjn9YzR7oUo1hZoWqLHGx,10.27408,2.56852,0.000001592584,5
5HnPz4GJfjTagkZUD2XGaSsYbRyoVtEjUrh9MEph73BQzbPm,5159.642976,1289.910744,0.000799795848,2511
5Gx5Zu5gCti2iyeN5KrJbBAnqSwUKNK6cxYjiCjB47Rfp8dc,20.54816,5.13704,0.000003185168,10
5Dd5zt5B2EAf7mt7astKGxWJ86KPMSrrRuFpAgVvo6j8Tm6E,51.3704,12.8426,0.000007962921,25
5ENzcvuN7FCF6kTS2PUWaedgRAUyZtNjR5KqwfXouhhWTt8q,20.54816,5.13704,0.000003185168,10
5EF6agBw2cmpoBgZVVYeMqiDydXNBNgxQT45racbAMxEaZW1,30.82224,7.70556,0.000004777752,15
5EyANgu4HpJ1TJY8LxXckAWLDZT5FKFHWAcPEchiG9bEUHmG,41.09632,10.27408,0.000006370337,20
5Fk2YEiAeVHTmZphSXCLyzyVnb94fePuaJ9dG7Nfbtt1XmEz,15.6166016,3.9041504,0.000002420728,7.6
5D7CsNiWiYiJs4ifRNAPi944GiKVX2rtGm1WPWJsa3zRGDwN,86.302272,21.575568,0.000013377708,42
5Dnyvdzw7N91zaBgPuRipxQRc8AeZ7vzvcpLs3Rw4sT2Y2ja,41.09632,10.27408,0.000006370337,20
5DXQMMqHyiEqeoTdCjszQ7oyQLaP1Wy91aFf7DU1oj9gBfU9,51.3704,12.8426,0.000007962921,25
5DvHUDR94X4zi2DvqqEjb2kFvK9v6UHrcUoqCascNAoUFD4z,30.82224,7.70556,0.000004777752,15
5EFKgoXhwA3vvTnNaugJtMTcLJjDc4D6mgjnRcAdgMS32mKZ,1826.731424,456.682856,0.000283161493,889
5GCJduXk3DGiDtsMQBiHiEMSPSqJxwLTZobqVEF43x2F42xs,10.27408,2.56852,0.000001592584,5
5DJmAGgnE3K183vp9v4asj49iWwoa7RmMxRR3DTeYpBejNhd,26.712608,6.678152,0.000004140719,13
5CWynz2zL1NhhDyndNotTYkLBQKJArC6fVcQWeZT6fuAHrfk,41.09632,10.27408,0.000006370337,20
5HatmBdXs7D8um6F3R2TZCz3EUBa3vvcpymJTeExAtt8BWB9,20.54816,5.13704,0.000003185168,10
5CXdTSGKhYwbeX9KTHh1zpXTdT2DnmPXNzQ21yJFsPj51RMe,41.09632,10.27408,0.000006370337,20
5HBGowbZmmynPz2YbjVgwNuz5KWwQ2V5WgmPRDHwbV8uuDaS,10.27408,2.56852,0.000001592584,5
5EFDgvE5iSajqyyXjC7MK21oaGKxwAFbUD8yzb4rZYirHxUf,10.27408,2.56852,0.000001592584,5
5DUNvoqAqm2aaYiWuKCJq5zx2e932dZUfWov4eGCSwzoqkSZ,205.4816,51.3704,0.000031851686,100
5HitavQVJfU4EByvbn1HBDcnaPk7aectJcj1fcV2puYwUAmq,205.4816,51.3704,0.000031851686,100
5GH79iWXuWsFd4kUhFD9bVDGqTo6VVZ6FwpcTPrvxMBRrDVh,150.04428224883,37.511070562207,0.000023258352,73.0207873838
5HjUxqkKehujGbeA2Xek83g2aBV9SpTCfQavRUhv52rmSJQv,16.438528,4.109632,0.000002548134,8
5HjhJZkewSs81MTT5Rwh1TNAb5HvzMBqup9xaYwLaNPPnMhV,41.09632,10.27408,0.000006370337,20
5FLVRJoRgA8vHB7bsMDK4Pd6xqyfhXNuVJzc8Su18LJtYckN,34.931872,8.732968,0.000005414786,17
5DLDL448uTb1bMU1HTjuTSdixrsQGLcYQzc5mBkVjtkqZrJn,66.78152,16.69538,0.000010351798,32.5
5G3fGUJgusdMRfxXzHPDEm3NqPLEHWm4KBxz48FVu7iFMf7A,28.767424,7.191856,0.000004459236,14
5HEnHasbY2f5o5rrvQGCwy7kAryJscL9J2qcuD9BbLdPn15q,10.27408,2.56852,0.000001592584,5
5FHCNN8Wj6mwjRAiV5xGE53T2WPgyNAKKZ4B43Xuiy3HNEyS,82.19264,20.54816,0.000012740674,40
5DfmsS2SzokzPrLAKzWajUB2n3N1A9hKGTZuJgm3f5QW2YUm,94.521536,23.630384,0.000014651775,46
5HE4hnScvgNRibFCsCmLHrzCqZKVUN6kQ6vLsZ69nRi3Zp2j,164.38528,41.09632,0.000025481349,80
5CcRvVFtMznBTw2dP6tM9dcayjS2ajLFjVJZQuq8qv4mu9hZ,308.2224,77.0556,0.000047777529,150
5DkXZkkHEWiL67iQ4aGrnyZruQCuTQHegeKTPhngRniUjrdf,205.4816,51.3704,0.000031851686,100
5FvJjsCpR3jyhm6kgw8kZ47MhbSS7Ssv62rCFpfRjttLytR4,10.27408,2.56852,0.000001592584,5
5DthmWGfoh6Vaw3jAaUNvAfMQpAF6TyfBNd99XwozCkR3QtY,10.27408,2.56852,0.000001592584,5
5H6ymVVcMLV73HC79r8Cgdy4CbDpVRniBvNLVzVuT2H8kD1b,10.27408,2.56852,0.000001592584,5
5Ek1xFn6RcBH7aVELx59QsHrSVyLWq1gyEzoDL54cQXyk2z9,20.54816,5.13704,0.000003185168,10
5GTxTVUjut6ivWT16fnDu1V7xTcmVoibt1vcEEQMeoskGxy3,57.534848,14.383712,0.000008918472,28
5F4mBSGj9NgLH4EZCNXVTT8CLuzErShQ8PZCgGLSNpQTfwfs,240.413472,60.103368,0.000037266473,117
5E9Zjy1icBY5qQr8dJiT79KmkkRoNnshc5oogJ7RbRi4YW3t,51.3704,12.8426,0.000007962921,25
5DEzZwCrV17EgSVXwKgvHkFx6rc4qoKtyXjJqSGde52Wqiqj,20.54816,5.13704,0.000003185168,10
5DkdXS68U2eLX4aksPSmid8QgYyyxDExTxp4mVHZvvWMHdSF,34.931872,8.732968,0.000005414786,17
5GpQVy3NFQyZuVBhqj8XocrhJgu3a3EjShd7eeWT7DefBP9H,328.77056,82.19264,0.000050962698,160
5DtEtZkDeszmwc4rz3bDz8xTUHpMpHKRkGZE8U5381YZH4Ez,234.249024,58.562256,0.000036310922,114
5FFCjj1ZVTbJzjA19b7rPZ8dG1GSwrDSZZiRSYgA4u1X7wMh,59.3841824,14.8460456,0.000009205137,28.9
5FxUnxsq3tXbXZ1iyaD1wm2ny5woWZT1c5V1nPqJ13F3FmbX,20.54816,5.13704,0.000003185168,10
5E9TtNZG1WqTGts5JSq1DSEj51JhrJt2Z5oEUYgerm1rkw1V,61.64448,15.41112,0.000009555505,30
5Ei6WEhNZLPbazfHoBHuBe8rxH5U4P5qtpU8auDUp5anJqLZ,20.54816,5.13704,0.000003185168,10
5FCKcCDALBocWFuk3Nf7Qys2NmNG95Fqxuews1uN4kJWMAom,10.27408,2.56852,0.000001592584,5
5CSq8eo61WX31VFuU2YZSj3qjkoP4J2kmGksDnMbvNjZJpb2,208.844373841965,52.211093460491,0.000032372949,101.6365328292
5DtYwnoqN5kin3s73x1qCbT6rG5sfCGTAXx2uCjeyHnEPdTb,102.7408,25.6852,0.000015925843,50
5D7ogCYj76EwjU9jtspwaH8impBD8nrxrUtcqrgjbvUzQEu1,12.328896,3.082224,0.000001911101,6
5FH8faMRS8aR8EZDvkXTBnEEeto4pnaVC1AhKniNoEKvss4A,10.27408,2.56852,0.000001592584,5
5Exh75ibdUXWFyrQi785kQXpQ1zHKNm5RLtsv25wMFvXJuuk,42.5346912,10.6336728,0.000006593299,20.7
5EskRK4jrfK5x4Sp3ZHjCW9HBhtxxeYWrxVHTTuHzmj6HYJ6,61.64448,15.41112,0.000009555505,30
5G91LZFerhhWK2z8zkGfbioypMU3fiDDXnbiZwpAiidtXDR3,10.27408,2.56852,0.000001592584,5
5Eq4UWpUGE2S2mV37g9LsDoEQvNFNUT7mC1Jn5Dz9BYLapqp,102.7408,25.6852,0.000015925843,50
5FZ3VvchdoW8x1ED1imNyVCL5dXVi2MAEWdPmB8TGy2JYXsw,10.27408,2.56852,0.000001592584,5
5GnBRiS7bXWtktsPJnurZZche9ZgNwrBMQzeDX4Cn2uiUaFW,30.82224,7.70556,0.000004777752,15
5CXH1LHmaFyiSbJM4Q9PErXCpzPC2y2J4mC5she1GzX9qtsA,215.75568,53.93892,0.00003344427,105
5ETjFNA9NadCjY6LxEcn8wBcdPk22uEgBoypmx8ziSS6qMyp,1849.3344,462.3336,0.000286665178,900
5DnpiW5tY8NepxTcMHx8MwTsvVegqUDtrGvQwgtYvhr7tPKF,20.54816,5.13704,0.000003185168,10
5Gc4jd4d8twGu5Ve29J6AE6JSKnY7VfKxtSeSJdsZZWnfy2m,271.235712,67.808928,0.000042044226,132
5EtE3X1MRLgHYznkLHzAqkEEqboYEJqNyP7kJRApZRq9Aa1R,18.493344,4.623336,0.000002866651,9
5G1ZxKDvPUungThdfHBbtoksRHYxm9TEvS3mSGLLvtpYJxjF,102.7408,25.6852,0.000015925843,50
5HQVXU3d4HNM5ivyZBziE8UEQjd267dKXLiEnXK8rhTaeHNp,123.28896,30.82224,0.000019111011,60
5CdBast1zv8orzTTYuA619gXPP8caUjtmpkSETGWHdTw62de,205.4816,51.3704,0.000031851686,100
5ECkikai86NWo9oLq3rqmHaauh4GGPwiVqBjpvtGqPmS67qS,87.32968,21.83242,0.000013536966,42.5
5HMgx9AEFHJDk2t79VcrWaFQTFfW7okMvyd3ziAW7wrQRNMF,30.82224,7.70556,0.000004777752,15
5FLZWLDLtf5pzyobXNDFNTddXp4dec5iLFvqtvbCRh4SowbC,51.3704,12.8426,0.000007962921,25
5CqpEbgtVCBLDq29oMir64kygvWvhoPCZ3ty6mS4FowKgaiY,30.82224,7.70556,0.000004777752,15
5GjAXoU4htsFUvDr7o8ZgyyKBKiF1SQ51g2jiRqr62Hi8LBC,20.54816,5.13704,0.000003185168,10
5ELzH3YzQgFW4WLZU2F8qbD9kzmwdE6n4fEJLpCmGK8Bqh31,51.3704,12.8426,0.000007962921,25
5GyBxUVRJuHbuUFGHqVzoQBK1TxiTNAXseU9K17e99YBVDKC,16.438528,4.109632,0.000002548134,8
5GuaFT2WfZvknAPFJos4wQkBYpK6Rb3dKJKaQBWck7nXayLf,205.4816,51.3704,0.000031851686,100
5Ec5qGc7WDhs7PyQj9bu3SUE1ZGSsLaZr5krK2wrkpekcFXi,20.54816,5.13704,0.000003185168,10
5DFNY7wLFTiSLkBrVPAWSss6nfxY5bdibaotVHymEnjAaeEA,246.57792,61.64448,0.000038222023,120
